eventTime,eventLat,eventLon,eventDepths,eventMag,magUnit,eventDescrp
2013-09-04T00:23:10.920000Z,51.1711,-130.2671,10.0,6.0,MW,QUEEN CHARLOTTE ISLANDS REGION
2013-10-29T10:37:56.300000Z,-61.7154,154.8294,10.0,6.0,MW,BALLENY ISLANDS REGION
2013-03-19T03:29:02.700000Z,-58.9815,-24.5697,52.0,6.0,MW,SOUTH SANDWICH ISLANDS REGION
2013-11-02T15:52:45.490000Z,-23.6356,-112.6783,8.5,6.0,MW,EASTER ISLAND REGION
2013-10-12T02:10:28.910000Z,10.8358,-62.3025,82.1,6.0,MW,NEAR COAST OF VENEZUELA
2013-03-24T08:13:45.160000Z,-20.8706,173.4536,11.7,6.0,MW,VANUATU ISLANDS REGION
2013-11-25T05:56:50.770000Z,45.4838,150.9624,43.1,6.0,MW,KURIL ISLANDS
2013-04-01T18:53:17.550000Z,39.5072,143.2662,16.2,6.0,MW,"OFF EAST COAST OF HONSHU, JAPAN"
2013-11-03T11:03:40.460000Z,4.6415,123.4,556.8,6.0,MW,CELEBES SEA
2013-12-28T19:06:17.090000Z,-18.2691,-174.3473,100.8,5.9,MW,TONGA ISLANDS
2013-06-16T05:19:00.660000Z,18.1653,-99.1506,55.0,5.9,MW,"GUERRERO, MEXICO"
2013-12-28T18:59:05.040000Z,-1.3671,-15.1792,11.0,5.9,MW,NORTH OF ASCENSION ISLAND
2013-01-31T09:53:43.210000Z,55.3694,-134.8161,10.0,5.9,MW,SOUTHEASTERN ALASKA
2013-02-08T18:07:47.540000Z,-10.8286,166.5745,10.0,5.9,MW,SANTA CRUZ ISLANDS
2013-02-28T03:09:44.930000Z,-17.7315,167.4074,22.3,5.9,MW,VANUATU ISLANDS
2013-02-06T10:20:35.090000Z,-10.8184,165.3027,14.3,5.9,MW,SANTA CRUZ ISLANDS
2013-02-06T10:33:17.270000Z,-10.6644,164.9301,10.0,5.9,MW,SANTA CRUZ ISLANDS REGION
2013-09-02T04:30:18.720000Z,-6.5243,155.0371,54.3,5.9,MW,SOLOMON ISLANDS
2013-02-02T18:58:09.790000Z,-11.0006,165.3544,26.4,5.9,MW,SANTA CRUZ ISLANDS
2013-10-24T20:32:44.730000Z,-22.6514,-176.5636,123.5,5.9,MW,SOUTH OF FIJI ISLANDS
2013-07-16T09:35:55.530000Z,-6.2479,154.8112,57.4,5.9,MW,SOLOMON ISLANDS
2013-05-27T03:36:29.690000Z,14.6508,53.8151,3.1,5.9,MW,OWEN FRACTURE ZONE REGION
2013-11-19T15:16:50.140000Z,8.8537,138.5662,23.6,5.9,MW,"W. CAROLINE ISLANDS, MICRONESIA"
2013-09-04T04:16:30.730000Z,51.5093,-174.7004,33.4,5.9,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-02-06T12:44:32.930000Z,-11.6465,165.5487,30.9,5.9,MW,SANTA CRUZ ISLANDS
2013-02-23T08:59:09.260000Z,-10.6335,165.3222,16.0,5.9,MW,SANTA CRUZ ISLANDS
2013-02-06T06:53:19.670000Z,-10.7009,164.9865,8.7,5.9,MW,SANTA CRUZ ISLANDS REGION
2013-11-25T07:21:18.210000Z,-53.8912,-53.9511,10.0,5.9,MW,SOUTH ATLANTIC OCEAN
2013-02-06T01:16:41.580000Z,-11.0516,164.7289,29.0,5.9,mb,SANTA CRUZ ISLANDS REGION
2013-05-19T18:44:11.520000Z,52.1909,160.3548,26.2,5.9,MW,OFF EAST COAST OF KAMCHATKA
2013-12-28T15:21:06.050000Z,36.0497,31.3184,59.5,5.9,MW,TURKEY
2013-05-07T10:10:51.650000Z,-19.6485,175.2114,33.3,5.9,MW,SOUTH OF FIJI ISLANDS
2013-04-17T12:03:31.910000Z,38.5205,141.551,51.4,5.9,MW,"NEAR EAST COAST OF HONSHU, JAPAN"
2013-09-14T15:42:46.670000Z,51.4073,-174.6918,29.4,5.9,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-10-30T02:29:11.490000Z,-35.4314,-73.15,12.8,5.9,MW,OFF COAST OF CENTRAL CHILE
2013-06-07T12:54:10.470000Z,-23.8633,179.0992,557.7,5.9,MW,SOUTH OF FIJI ISLANDS
2013-04-12T20:33:17.930000Z,34.4012,134.8652,16.5,5.9,MW,NEAR S. COAST OF WESTERN HONSHU
2013-05-10T19:56:06.610000Z,-28.9678,-13.1831,13.8,5.8,MW,SOUTHERN MID-ATLANTIC RIDGE
2013-04-10T20:20:27.760000Z,20.7141,122.1812,17.8,5.8,MW,PHILIPPINE ISLANDS REGION
2013-01-31T03:57:59.630000Z,-10.6687,166.4424,31.7,5.8,MW,SANTA CRUZ ISLANDS
2013-10-25T21:51:57.960000Z,-56.3237,-27.4137,112.0,5.8,MW,SOUTH SANDWICH ISLANDS REGION
2013-12-23T09:12:28.710000Z,12.7745,143.0879,112.5,5.8,MW,SOUTH OF MARIANA ISLANDS
2013-11-03T02:42:54.150000Z,-5.9243,148.8457,91.9,5.8,MW,"NEW BRITAIN REGION, P.N.G."
2013-11-17T09:11:00.920000Z,-60.4308,-45.1787,10.0,5.8,mb,SCOTIA SEA
2013-08-04T03:28:50.320000Z,38.2361,141.7821,52.7,5.8,MW,"NEAR EAST COAST OF HONSHU, JAPAN"
2013-02-26T19:57:54.010000Z,-21.45,-179.2791,603.5,5.8,MW,FIJI ISLANDS REGION
2013-02-02T04:16:18.860000Z,-10.9864,165.3787,30.0,5.8,MW,SANTA CRUZ ISLANDS
2013-08-04T15:56:34.640000Z,46.9353,145.3073,374.6,5.8,MW,SEA OF OKHOTSK
2013-02-25T07:23:56.270000Z,36.8846,139.3749,13.8,5.8,MW,"EASTERN HONSHU, JAPAN"
2013-09-24T11:36:27.720000Z,27.1674,65.5724,10.0,5.8,mb,PAKISTAN
2013-02-11T09:40:22.750000Z,-11.0271,166.8953,30.3,5.8,MW,SANTA CRUZ ISLANDS
2013-11-13T03:57:42.140000Z,51.487,-178.8839,32.0,5.8,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-08-06T10:41:34.730000Z,-22.5917,173.8109,35.0,5.8,MW,SOUTHEAST OF LOYALTY ISLANDS
2013-06-27T08:38:09.950000Z,1.1025,127.1248,136.4,5.8,MW,"HALMAHERA, INDONESIA"
2013-02-23T11:09:21.910000Z,-8.5949,127.4488,34.5,5.8,MW,TIMOR REGION
2013-03-09T14:56:29.360000Z,50.8127,157.3582,46.0,5.8,MW,KURIL ISLANDS
2013-04-06T00:29:55.510000Z,42.7356,131.0457,572.3,5.8,MW,E. RUSSIA-N.E. CHINA BORDER REG.
2013-02-01T02:17:29.320000Z,-7.03,147.8471,54.0,5.8,MW,"EASTERN NEW GUINEA REG., P.N.G."
2013-04-30T06:25:24.270000Z,37.5889,-24.9594,19.7,5.8,MW,AZORES ISLANDS REGION
2013-08-25T16:07:16.970000Z,-33.3654,57.0592,14.0,5.8,MW,SOUTHWEST INDIAN RIDGE
2013-09-24T17:20:14.480000Z,27.1131,65.5461,16.1,5.8,MW,PAKISTAN
2013-04-02T14:34:56.830000Z,-40.3937,45.1857,14.3,5.8,MW,SOUTHWEST INDIAN RIDGE
2013-10-02T01:06:38.640000Z,11.2463,57.5989,16.3,5.8,MW,OWEN FRACTURE ZONE REGION
2013-08-23T08:34:06.010000Z,-22.2926,-68.6418,103.0,5.8,MW,NORTHERN CHILE
2013-07-15T13:59:06.680000Z,-15.5503,-172.971,29.0,5.8,MW,SAMOA ISLANDS REGION
2013-02-08T15:00:11.700000Z,-10.9019,166.0015,10.0,5.8,MW,SANTA CRUZ ISLANDS
2013-12-04T14:55:41.000000Z,-25.4687,178.3534,585.8,5.8,MW,SOUTH OF FIJI ISLANDS
2013-05-27T09:41:14.670000Z,9.3613,-82.6543,15.9,5.8,MW,PANAMA-COSTA RICA BORDER REGION
2013-02-06T11:03:45.880000Z,-10.6776,165.2943,10.0,5.8,MW,SANTA CRUZ ISLANDS
2013-07-19T11:40:42.500000Z,-30.5559,-176.2362,26.3,5.8,MW,KERMADEC ISLANDS REGION
2013-01-09T01:41:53.060000Z,25.322,95.0088,92.6,5.8,MW,MYANMAR-INDIA BORDER REGION
2013-04-19T17:51:42.660000Z,-11.9123,121.6642,24.2,5.8,MW,"SOUTH OF TIMOR, INDONESIA"
2013-05-24T11:10:48.990000Z,-24.4007,-175.0012,12.9,5.8,mb,SOUTH OF TONGA ISLANDS
2013-04-20T05:11:57.520000Z,-54.9059,1.1227,10.0,5.8,MW,BOUVET ISLAND REGION
2013-08-11T21:23:43.870000Z,30.0413,97.9708,23.0,5.8,MW,XIZANG
2013-03-05T06:06:36.260000Z,-5.2248,152.6503,35.0,5.8,MW,"NEW BRITAIN REGION, P.N.G."
2013-09-04T06:16:50.110000Z,51.4884,-174.8132,25.6,5.8,MW,"ANDREANOF ISLANDS, ALEUTIAN IS."
2013-02-07T08:03:42.690000Z,-11.0974,164.8014,23.6,5.8,MW,SANTA CRUZ ISLANDS REGION
2013-08-16T05:31:17.300000Z,-41.6615,174.2294,17.2,5.8,MW,"COOK STRAIT, NEW ZEALAND"
2013-02-07T07:19:52.580000Z,-15.8342,-172.9224,26.0,5.8,MW,SAMOA ISLANDS REGION
2013-05-26T06:08:15.310000Z,39.9496,67.4358,15.5,5.8,MW,SOUTHEASTERN UZBEKISTAN
2013-02-07T19:48:17.840000Z,-10.8225,165.8507,10.0,5.8,MW,SANTA CRUZ ISLANDS
2013-08-30T02:11:02.890000Z,-4.4495,151.6228,211.0,5.8,MW,"NEW BRITAIN REGION, P.N.G."
2013-02-28T18:07:48.190000Z,-10.942,166.0219,40.5,5.8,MW,SANTA CRUZ ISLANDS
2013-11-19T23:18:00.520000Z,-63.265,-164.8659,10.0,5.8,MW,PACIFIC-ANTARCTIC RIDGE
2013-08-16T03:09:08.910000Z,-41.7651,174.0479,6.9,5.8,MW,"COOK STRAIT, NEW ZEALAND"
2013-05-21T03:05:52.320000Z,52.2681,160.4429,27.0,5.8,MW,OFF EAST COAST OF KAMCHATKA
2013-05-21T03:08:21.230000Z,52.3757,160.2592,43.8,5.8,MW,OFF EAST COAST OF KAMCHATKA
2013-02-16T05:16:16.760000Z,-36.2346,178.0295,198.4,5.8,MW,"OFF E. COAST OF N. ISLAND, N.Z."
2013-08-29T13:52:27.370000Z,-19.3976,-179.021,674.3,5.8,MW,FIJI ISLANDS REGION
2013-09-05T12:29:16.830000Z,10.6454,-86.1017,33.0,5.8,MW,OFF COAST OF COSTA RICA
2013-03-13T03:12:52.680000Z,60.1064,163.5095,9.7,5.8,MW,"EASTERN SIBERIA, RUSSIA"
2013-01-08T14:16:09.590000Z,39.6681,25.5372,11.1,5.8,MW,AEGEAN SEA
2013-02-06T13:54:56.220000Z,-10.8134,166.5028,24.0,5.8,MW,SANTA CRUZ ISLANDS
