#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
BK|PACP|37.008|-121.287|844.0|Pacheco Peak, CA, USA|2003-06-19T15:00:00|
BK|PKD|35.94517|-120.5416|583.0|Bear Valley Ranch, Parkfield, CA, USA|1996-09-06T16:28:00|
BK|RAMR|35.63597|-120.86984|416.8|Ramage Ranch, Paso Robles, CA, USA|2004-11-06T00:00:00|
BK|SAO|36.76403|-121.44722|317.2|San Andreas Geophysical Obs., Hollister, CA, USA|1988-01-28T00:00:00|
BK|SCZ|36.598|-121.403|261.0|Chualar Canyon, Santa Cruz, CA, USA|2013-04-10T22:27:00|
BK|SUTB|39.2291|-121.7861|252.0|Sutter Buttes, CA, USA|2008-05-22T22:54:00|
BK|THIS|35.72405|-120.22845|643.0|South End of Cholame Valley, Shandon, CA, USA|2012-05-07T16:25:00|
BK|TRAM|35.67691|-120.27093|642.0|Rambo Property, Shandon, CA, USA|2012-12-13T00:46:00|
BK|TSCN|35.543978|-120.348062|476.4672|Shell Creek North, Shandon, CA, USA|2012-03-09T00:00:00|
BK|VAK|37.877526|-122.24889|266.0|LBL B46 Tunnel, Berkeley, CA, USA|2010-08-31T00:00:00|
BK|WDC|40.57988|-122.54113|268.3|Whiskeytown Dam, Whiskeytown, CA, USA|1992-09-17T19:23:00|
BK|WENL|37.62211|-121.75697|138.9|Wente Vineyards, Livermore, CA, USA|1998-07-15T20:30:00|
BK|YBH|41.73204|-122.71039|1059.7|Yreka Blue Horn Mine, Yreka, CA, USA|1996-10-22T00:00:00|
CB|CAD|31.0|97.5|3070.0|Changdu, Tibet, China|2000-01-01T00:00:00|
CB|CD2|30.91|103.757797|653.0|Chengdou,Sichuan Province|2007-07-01T00:00:00|
CB|CN2|43.48|125.260002|223.0|Changchun,Jilin Province|2007-07-01T00:00:00|
CB|DL2|38.905998|121.627998|65.0|Dalian,Liaoning Province|2007-07-01T00:00:00|
CB|GOM|36.198399|94.814499|3121.0|Geermu,Qinghai Province|2007-07-01T00:00:00|
CB|GTA|39.400002|99.816704|1345.0|Gaotai,Gansu Province|2007-07-01T00:00:00|
CB|GYA|26.459999|106.664001|1162.0|Guiyang,Yunnan Province|2007-07-01T00:00:00|
CB|GZH|23.6525|113.652496|65.0|Guangzhou,Guangdong Province|2007-07-01T00:00:00|
CB|HEH|50.252998|127.410004|165.0|Heihe,Heilongjiang Province|2007-07-01T00:00:00|
CB|HHC|40.849998|111.564003|1169.0|Huhehaote,Neimeng Province|2007-07-01T00:00:00|
CB|KSH|39.516998|75.922997|1314.0|Kashi,Xingjiang|2000-01-01T00:00:00|
CB|LYN|34.549999|112.470001|170.0|Luoyang,Henan Province|2007-07-01T00:00:00|
CB|LZH|36.087002|103.844398|1560.0|Lanzhou,Gansu Province|2007-07-01T00:00:00|
CB|NAQ|32.25|92.25|4500.0|Naqu,Tibet,China|2000-01-01T00:00:00|
CB|NJ2|32.051701|118.854401|45.0|Nanjing,Jiangsu Province|2007-07-01T00:00:00|
CB|SNY|41.827801|123.578003|54.0|Shenyang,Liaoning Province|2007-07-01T00:00:00|
CB|TIA|36.209999|117.124001|266.8|Taian,Shandong Province|2007-07-01T00:00:00|
CB|TNC|25.028999|98.519997|1650.0|Tengchong,Yunnan|2000-01-01T00:00:00|
CB|WHN|30.542801|114.353897|80.0|Wuhantai,Hubei Province|2007-07-01T00:00:00|
CB|XLT|43.900002|116.079002|1030.0|Xilinhaote,Neimeng Province|2007-07-01T00:00:00|
CI|PASC|34.17141|-118.18523|341.0|Art Center College of Design (GSN-affiliate)|2006-10-05T00:00:00|
CM|BRR|7.107167|-73.712|137.0|Barrancabemeja, Santander, Colombia|2008-04-04T00:00:00|2017-12-05T00:00:00
CM|CAP2|8.644522|-77.360388|221.0|Capurgana, Choco, Colombia|2008-02-06T00:00:00|
CM|CHI|4.6295|-73.7371|3140.0|Chingaza, Cundinamarca|2007-06-30T00:00:00|2018-05-11T23:59:59
CM|FLO2|1.582667|-75.652667|365.0|Florencia, Caqueta, Colombia|2011-12-07T00:00:00|
CM|HEL|6.1909|-75.529|2857.0|Santa Helena, Medellin, Colombia|2011-06-18T18:40:00|
CM|MAP|4.003667|-81.606|137.0|Isla Malpelo, Colombia|2009-06-04T00:00:00|
CM|MON|8.7785|-75.665|109.0|Monteria, Cordoba, Colombia|2008-03-01T00:00:00|2016-08-29T23:29:59
CM|OCA|8.238833|-73.319333|1264.0|Ocana, Norte de Santander, Colombia|2012-05-02T00:00:00|
CM|POP2|2.540167|-76.675833|1869.0|Popayan, Cauca, Colombia|2009-07-07T00:00:00|2018-05-11T23:59:59
CM|PRA|3.713833|-74.886167|457.0|Prado, Tolima, Colombia|2008-07-11T00:00:00|
CM|PRV|13.376167|-81.3635|38.0|Providencia, Archipielago de San Andres, Colombia|2012-05-15T00:00:00|
CM|RUS|5.8925|-73.083167|3697.0|La Rusia, Boyaca, Colombia|2009-04-03T00:00:00|
CM|SJC|9.896667|-75.1795|596.0|San Jacinto, Bolivar, Colombia|2011-05-03T00:00:00|
CM|TUM|1.823667|-78.726667|50.0|Tumaco, Narino, Colombia|2007-06-30T00:00:00|
CM|URE|7.751667|-75.532667|251.0|San Jose de Ure, Cordoba, Colombia|2012-05-01T00:00:00|2018-05-11T23:59:59
CM|URI|11.702|-71.993|68.0|Uribia, Guajira, Colombia|2008-12-17T00:00:00|
CM|YOT|3.9835|-76.345|1040.0|Yotoco, Valle, Colombia|2012-10-16T00:00:00|2018-05-11T23:59:59
CM|ZAR|7.492333|-74.858|205.0|Zaragoza, Antioquia, Colombia|2011-08-25T00:00:00|2018-05-11T23:59:59
CN|EDB|49.873|-127.1216|150.0|Eliza Dome, BC, CA|1982-04-29T00:00:00|
CN|SHB|49.5985|-123.8771|1129.0|Sechelt, BC, CA|1996-11-28T00:00:00|
CU|ANWB|17.66853|-61.78557|39.0|North Barbuda Island|2007-09-07T00:00:00|
CU|BBGH|13.1434|-59.5588|180.0|Gun Hill, Barbados|2006-09-06T18:12:00|
CU|BCIP|9.1665|-79.8373|61.0|Isla Barro Colorado, Panama|2006-12-02T15:44:00|
CU|GRGR|12.1324|-61.654|195.0|Grenville, Grenada|2006-12-12T11:41:00|
CU|GRTK|21.51149|-71.1327|12.0|Grand Turk, Turks and Caicos Islands|2007-12-18T00:00:00|
CU|GTBY|19.9268|-75.1108|79.0|Guantanamo Bay, Cuba|2007-08-27T15:26:00|
CU|MTDJ|18.22605|-77.53454|925.0|Mount Denham, Jamaica|2007-12-08T00:00:00|
CU|SDDR|18.9821|-71.2878|589.0|Presa de Sabenta, Dominican Republic|2006-08-30T00:00:00|
CU|TGUH|14.057|-87.273|1151.0|Tegucigalpa, Honduras|2006-09-20T22:59:00|
DK|DBG|74.307098|-20.219299|1.0|Daneborg, Greenland|2010-08-11T00:00:00|
DK|DY2G|66.479599|-46.309399|2132.0|Raven Camp, Greenland|2011-05-19T00:00:00|
DK|ICESG|69.092201|-39.6474|2931.6|Ice sheet ridge, Greenland|2011-06-05T00:00:00|
DK|NEEM|77.444702|-51.073799|2513.0|Ice sheet ridges, Greenland|2011-07-16T00:00:00|
DK|NUUK|64.1838|-51.6679|110.0|Nuuk, Greenland|2010-07-26T00:00:00|
DK|SOEG|68.203499|-31.3755|179.0|Sodalen, Greenland|2011-07-27T00:00:00|
G|AIS|-37.796349|77.569183|35.9|Nouvelle-Amsterdam - TAAF, France|1993-12-25T00:00:00|
G|ATD|11.530725|42.846634|610.0|Arta Cave - Arta, Republic of Djibouti|1993-07-07T00:00:00|
G|CAN|-35.318714|148.996323|700.0|Canberra, Australia|1987-11-27T00:00:00|
G|CCD|-75.1065|123.305|3240.0|Concordia Base, Dome C, Antartica|2007-01-01T00:00:00|
G|CLF|48.025791|2.26|145.0|Chambon la Foret Observatory, France|2008-07-10T00:00:00|
G|COYC|-45.57299|-72.08139|235.0|Coyhaique, Chile|2004-12-17T00:00:00|
G|CRZF|-46.43096|51.855308|140.0|Port Alfred - Ile de la Possession - Crozet Islands, France|1986-02-01T00:00:00|
G|DRV|-66.664909|140.002075|40.0|Dumont d'Urville - Terre Adelie, Antarctica|1986-02-01T00:00:00|
G|DZM|-22.07164|166.44377|878.0|Dzumac - New Caledonia, France|2003-09-01T00:00:00|
G|ECH|48.216312|7.158961|580.0|Echery - Sainte Marie aux Mines, France|1990-11-08T00:00:00|
G|FDF|14.734971|-61.146311|467.0|Fort de France - Martinique island, France|1998-11-25T00:00:00|2019-10-21T00:00:00
G|FOMA|-24.97565|46.978877|28.0|Nahampoana Reserve - Fort Dauphin, Madagascar|2008-09-01T00:00:00|
G|HDC|10.00201|-84.11142|1186.0|Heredia, Costa Rica|1997-03-08T00:00:00|
G|INU|35.35|137.029|132.0|Inuyama, Japan|1987-03-04T00:00:00|
G|IVI|61.205808|-48.171178|15.0|Ivittuut, Greenland|2011-09-12T00:00:00|
G|KIP|21.42|-158.0112|110.0|Kipapa, Hawaii, USA|1986-04-17T00:00:00|
G|MBO|14.392024|-16.955467|3.0|M'Bour, Senegal|1985-09-01T00:00:00|2020-03-04T00:00:00
G|MPG|5.11011|-52.644483|147.0|Montagne des Peres - French Guiana, France|2000-07-03T00:00:00|
G|NOUC|-22.09863|166.30665|137.0|Port Laguerre - New Caledonia, France|1988-03-21T00:00:00|
G|PEL|-33.143607|-70.67494|700.0|Peldehue, Chile|1995-10-04T00:00:00|
G|PPTF|-17.5896|-149.565247|705.0|Pamatai - Papeete - Tahiti island - French Polynesia, France|2009-04-25T00:00:00|
G|RER|-21.1712|55.739861|834.0|Riviere de l'Est - Sainte Rose - La Reunion island, France|1986-02-10T00:00:00|
G|ROCAM|-19.75553|63.37014|52.0|Leguat Reserve, Rodrigues Island, Republic of Mauritius|2012-12-15T00:00:00|
G|RODM|-19.696196|63.44128|300.0|Rodrigues Island, Republic of Mauritius|2010-11-10T00:00:00|2014-09-06T23:59:00
G|SANVU|-15.447148|167.203232|56.0|Espiritu Santo, Vanuatu|2011-11-01T00:00:00|
G|SPB|-23.592691|-47.426979|647.0|Sao Paulo, Brazil|1996-06-17T00:00:00|
G|SSB|45.279|4.542|700.0|Tunnel de Badole - Saint Sauveur en Rue, France|1982-05-02T00:00:00|
G|TAM|22.791491|5.52838|1410.0|Tamanrasset, Algeria|1983-11-16T00:00:00|
G|TAOE|-8.85492|-140.14775|800.0|Taiohae - Marquesas islands, France|2004-11-01T20:00:00|
G|TRIS|-37.0681|-12.3152|60.0|Tristan da Cunha|2004-03-03T00:00:00|
G|UNM|19.329662|-99.178062|2280.0|Unam - Mexico, Mexico|1990-06-06T00:00:00|
GE|KBS|78.925598|11.9417|77.0|IRIS/GEOFON/AWI Station Ny Alesund, Spitsbergen|1999-04-15T00:00:00|
GE|KMBO|-1.1268|37.2523|1940.0|IRIS/GEOFON Station Kilima Mbogo, Kenya|1995-09-17T00:00:00|
GE|LVC|-22.6182|-68.911301|2915.0|IRIS/GEOFON Station Calama, Chile|1996-12-02T00:00:00|
GE|PMG|-9.4092|147.1539|67.0|IRIS/GEOFON/PACIFIC21 Station Port Moresby, PNG|1993-09-10T00:00:00|
GE|TIRR|44.458099|28.4128|77.0|GEOFON Station Tirgusor, Romania|2003-10-13T00:00:00|
GT|BOSA|-28.6141|25.255501|1305.8|Boshof, South Africa|1993-02-26T00:00:00|
GT|CPUP|-26.330641|-57.330872|105.0|Villa Florida, Paraguay|1994-07-21T00:00:00|
GT|DBIC|6.67016|-4.85656|125.0|Dimbokro, Cote d'Ivoire|2002-11-04T00:00:00|
GT|LBTB|-25.0151|25.596649|1128.0|Lobatse, Botswana, Africa|2002-11-04T00:00:00|
GT|LPAZ|-16.287924|-68.130714|4815.1|La Paz, Bolivia|1993-08-20T00:00:00|
GT|PLCA|-40.732739|-70.550804|1079.7|Paso Flores, Argentina|2002-09-04T10:42:02|
GT|VNDA|-77.517273|161.852753|121.1|Dry Valley, Vanda, Antarctica|1993-12-28T00:00:00|
HK|HKPS|22.277599|114.141502|196.3|Po Shan, Hong Kong|2009-10-29T00:00:00|
IC|BJT|40.0183|116.1679|197.0|Baijiatuan, Beijing, China|2013-04-17T00:00:00|
IC|ENH|30.2762|109.4944|500.0|Enshi, Hubei Province, China|2013-05-02T02:00:00|
IC|HIA|49.2704|119.7414|620.0|Hailar, Neimenggu Autonomous Region, China|2013-05-10T10:00:00|
IC|KMI|25.1233|102.74|1975.0|Kunming, Yunnan Province, China|2013-01-17T01:00:00|
IC|LSA|29.7031|91.127|3660.0|Tibet, China|2013-05-09T11:30:00|
IC|MDJ|44.61763|129.59341|290.0|Mudanjiang, Heilongjiang Province, China|2013-05-05T04:00:00|
IC|QIZ|19.0291|109.8445|240.0|Qiongzhong, Hainan Province, China|2013-01-10T00:00:00|
IC|SSE|31.0948|121.1908|40.0|Shanghai, China|2013-04-27T02:00:00|
IC|WMQ|43.8138|87.7049|850.0|Urumqi, Xinjiang Province, China|2013-04-27T04:00:00|
IC|XAN|34.0313|108.9237|630.0|Xi'an, China|2013-01-17T03:00:00|
II|AAK|42.6375|74.4942|1633.1|Ala Archa, Kyrgyzstan|1990-10-12T00:00:00|
II|ABKT|37.9304|58.1189|678.0|Alibek, Turkmenistan|1993-04-25T00:00:00|2013-12-30T23:59:59
II|ABPO|-19.018|47.229|1528.0|Ambohimpanompo, Madagascar|2007-04-04T00:00:00|
II|ALE|82.5033|-62.35|60.0|Alert, NU, Canada|1990-02-19T00:00:00|
II|ARU|56.4293|58.5615|260.0|Arti, Russia|2009-09-28T00:00:00|2018-09-08T23:59:59
II|ASCN|-7.9327|-14.3601|173.0|Butt Crater, Ascension Island|1994-10-01T00:00:00|
II|BFO|48.3301|8.3296|638.0|Black Forest Observatory, Schiltach, Germany|1996-05-29T00:00:00|
II|BORG|64.7474|-21.3268|110.0|Borgarfjordur, Asbjarnarstadir, Iceland|1994-07-30T00:00:00|
II|BRVK|53.0581|70.2828|330.0|Borovoye, Kazakhstan|1994-09-01T00:00:00|2019-08-21T23:59:59
II|CMLA|37.7637|-25.5243|429.0|Cha de Macela, Sao Miguel Island, Azores|1996-03-10T00:00:00|
II|COCO|-12.1901|96.8349|1.0|West Island, Cocos (Keeling) Islands|1996-12-15T00:00:00|
II|DGAR|-7.4121|72.4525|1.0|Diego Garcia, Chagos Islands, Indian Ocean|2004-01-22T00:00:00|
II|EFI|-51.6753|-58.0637|110.0|Mount Kent, East Falkland Island|1996-02-16T00:00:00|
II|ERM|42.015|143.1572|40.0|Erimo, Hokkaido Island, Japan|1990-05-21T00:00:00|
II|ESK|55.3167|-3.205|242.0|Eskdalemuir, Scotland, UK|1987-11-13T00:00:00|
II|FFC|54.725|-101.9783|338.0|Flin Flon, Canada|1993-08-28T00:00:00|
II|HOPE|-54.2836|-36.4879|20.0|Hope Point, South Georgia Island|1996-12-10T00:00:00|
II|IBFO|48.331902|8.3311|589.0|Black Forest Observatory, Schiltach, Germany|2011-04-10T00:00:00|
II|JTS|10.2908|-84.9525|340.0|Las Juntas de Abangares, Costa Rica|1995-04-23T00:00:00|
II|KAPI|-5.0142|119.7517|300.0|Kappang, Sulawesi, Indonesia|1999-02-06T00:00:00|
II|KDAK|57.7828|-152.5835|152.0|Kodiak Island, Alaska, USA|1997-06-09T00:00:00|
II|KIV|43.9553|42.6863|1054.0|Kislovodsk, Russia|1994-02-01T00:00:00|
II|KURK|50.7154|78.6202|184.0|Kurchatov, Kazakhstan|1995-03-26T00:00:00|
II|KWAJ|8.8019|167.613|0.0|Kwajalein Atoll, Pacific Ocean|1999-06-22T00:00:00|2017-08-08T21:08:59
II|LVZ|67.8979|34.6514|630.0|Lovozero, Russia|1992-12-01T00:00:00|
II|MBAR|-0.6019|30.7382|1390.0|Mbarara, Uganda|1999-09-22T00:00:00|
II|MSEY|-4.6737|55.4792|475.0|Mahe, Seychelles|1995-05-15T00:00:00|
II|MSVF|-17.7448|178.0528|801.1|Monasavu, Fiji|1994-05-24T00:00:00|
II|NIL|33.6506|73.2686|629.0|Nilore, Pakistan|1994-12-18T00:00:00|
II|NNA|-11.9875|-76.8422|575.0|Nana, Peru|1988-06-22T00:00:00|
II|OBN|55.1146|36.5674|160.0|Obninsk, Russia|1988-09-14T00:00:00|
II|PALK|7.2728|80.7022|460.0|Pallekele, Sri Lanka|2000-08-22T00:00:00|
II|PFO|33.6107|-116.4555|1280.0|Pinon Flat, California, USA|2006-07-13T00:00:00|
II|RAYN|23.5225|45.5032|631.0|Ar Rayn, Saudi Arabia|1996-01-01T00:00:00|
II|RPN|-27.1267|-109.3344|110.0|Rapanui, Easter Island, Chile|1987-06-15T00:00:00|
II|SACV|14.9702|-23.6085|387.0|Santiago Island, Cape Verde|2000-05-29T00:00:00|
II|SHEL|-15.9594|-5.7455|537.0|Horse Pasture, St. Helena Island|1995-06-19T00:00:00|
II|SUR|-32.3797|20.8117|1770.0|Sutherland, South Africa|1990-10-30T00:00:00|
II|TAU|-42.9099|147.3204|132.0|Hobart, Tasmania, Australia|1994-01-17T00:00:00|
II|TLY|51.6807|103.6438|579.0|Talaya, Russia|1990-10-12T00:00:00|
